,Ztfz,Rxrrr,Puhwtl,Eklc,Tmarnu,Xntg,Laqvtt,Wmgiss,Ytmj,Izzln,Qjxtrc,Zvctv,Jqpe,Hdhyo,Toek,Suocf,Vydve,Jxwh,Ybrx,Uxjiyv,Ddxou,Jesd,Lram,Jcbsme,Ltvr,Ctxxo,Urgvk,Ncgzp,Ktfo,Pxcr,Lvvzsf,Ngoswn,Uzsn,Fylmi,Owddsz,Mbzk,Avhog,Tsjg,Lqmjx,Ggiml,Ukvoo,Glvszi,Rvrslp,Elsnfq,Poscny,Bdlemm,Qpsrer,Zvowx,Gxsi,Iqwxcp,Lqzrg,Ndnxwz,Wypl,Tfps,Ylcw
Wypl,,,,8,,4,,,,,8,,10,,,,7,,6,6,2,7,2,,1,2,2,6,2,5,,,,,,,,8,,,,,,3,,,8,,7,2,8,3,,,
Iqwxcp,,,,,,,5,4,,,,,5,,,,,7,,7,,5,,,,5,,,,8,,5,,,,,3,,7,4,,,2,,2,4,7,,,,,7,,4,12
Uxjiyv,12,8,,,,6,,,2,12,,,,3,,,,,,,,2,,3,,4,,4,10,,,,4,,,,,,,5,3,2,10,10,7,,,6,10,10,12,,,10,
Rvrslp,,6,8,5,,,,,,8,,12,7,4,,,,,4,,,,,1,,,4,,,,,,7,,,,10,,3,10,7,10,,12,1,12,6,,8,,,,3,,
Ukvoo,8,,,,6,7,12,,,1,,7,3,,4,10,10,3,,,,,,,,,12,,,7,,2,,,7,12,,1,8,,,,3,,6,,,,,,,,,,2
Suocf,10,,,10,,5,,,10,,2,6,,,2,,,5,,5,1,,3,,,,,10,,2,10,,,,12,,4,5,,,1,8,,,,,,,,,,,5,,3
Zvowx,5,,,,2,,,3,,,4,,,,,12,,,2,10,,12,,,,,1,,,4,,7,,3,,7,,2,,,,5,,1,12,,,,,6,5,8,7,2,
Toek,,12,,7,,3,,1,,,,,2,,,,,,,,,,,5,,,,,,12,,,,,,,6,,,6,,,,,,,3,,,8,,,,12,
Qpsrer,3,3,,,,,,,,,,,,,5,1,,8,,,,3,1,,,,5,,4,,,,,8,,5,,,10,,,7,,,,,,12,2,,,10,,1,
Elsnfq,,5,,12,,,,,12,2,7,,1,2,12,,,10,3,,8,8,,,8,1,,,,,,,,,,,1,,2,1,6,,5,,,5,,,1,,7,,1,,1
Wmgiss,7,,,,,,7,,4,7,6,8,,,,,1,,7,,3,4,12,4,,,,,,,7,,,10,2,6,2,7,,,,,6,,,,,,,,,4,,,
Rxrrr,6,,,,10,,,8,,3,,,,,,2,,,5,,,,,12,2,,,,6,,,,,5,,,,3,,,8,1,,,,,10,,,,,,,,6
Hdhyo,,4,,,4,,,5,,,,,,,6,6,2,,,,,,8,,,10,8,3,,1,,3,10,,,3,,,,,,,,,,,,2,12,,2,1,,,
Uzsn,,,,,,12,8,,8,,,4,,6,10,,5,4,,,10,,10,2,3,,,,,,6,,,2,,8,,10,,,12,12,,,,10,5,,6,3,,,,,
Jqpe,2,7,2,,5,2,6,,6,,,,,,,8,,6,,2,12,6,,,,8,,,,,,10,,4,,,12,12,,,,,,8,8,,,4,,,,,,,8
Avhog,,,,3,,1,,12,,10,1,,,5,7,7,,1,,3,,,5,,12,6,10,12,,,8,,3,12,,2,5,,,,,,1,,3,7,,,4,,4,6,,6,5
Ltvr,,1,3,,12,,,,,,5,,,12,8,,3,,,8,,,,8,,,,,3,,3,,,,,,,,1,,2,,,,,8,2,1,,,,,4,,
Urgvk,,,,,,,,,5,,10,,12,10,,,,,,,,,,7,10,,,,12,,,,8,,5,4,,,,,4,3,7,2,,,,3,,4,1,2,10,,7
Ngoswn,,,,,,,2,,1,,,,,7,,,,2,,,,1,7,,6,,3,1,,,5,6,,7,8,10,8,,,3,5,,4,,,6,4,,5,,3,,2,,
Zvctv,4,,5,,,10,,,,5,12,3,8,,,,8,,,12,,,,,,3,7,5,8,10,,8,,,3,,,6,,,,,12,6,,,,,,7,10,,,8,
Jesd,,,,4,3,,,2,,6,,10,,,,5,,,,,4,,6,,,,,8,,3,4,,,,10,1,,,,,,,,,10,,,,,1,,,,5,
Qjxtrc,,2,6,,,,3,,7,,,,4,,1,,4,12,10,4,7,10,4,,,,,,,,12,,5,,,,,,4,7,,6,,,5,2,1,,,5,6,,6,,
Ndnxwz,,,1,6,,8,,,,,,1,,,,,12,,12,,,,,,,,,,1,,,4,,1,,,,,6,8,,,8,4,,3,,,,,,12,,7,10
Ztfz,,,10,2,8,,4,10,3,,,,6,1,,,,,8,,5,,,,4,12,6,,,,1,1,6,,1,,,4,12,12,,,,,,,,8,,,,,,3,4
Fylmi,1,10,4,1,7,,10,7,,,,2,,8,,3,,,,,,,,10,,,,7,5,,,,1,,,,,,5,,10,,,,,,,7,,12,,5,12,,
Ggiml,,,7,,1,,,6,,4,3,,,,,4,,,1,,6,,,6,5,,,,,6,,,12,6,6,,,,,2,,,,7,,,,10,,,,,8,,
Tmarnu,,,12,,,,1,,,,,5,,,3,,6,,,1,,,,,7,7,,2,7,,2,12,2,,4,,7,,,,,4,,5,4,1,12,5,3,,,,,,
